symbol,exchange,name,sector,industry,slug
3908,HK,China International Capital Corp Lt,Финансы,Инвестиционно-банковские и инвестиционные услуги,china-international-capital-corp-lt
0717,HK,Emperor Capital,Финансы,Инвестиционно-банковские и инвестиционные услуги,emperor-capital-group-ltd
0936,HK,Kaisa Capital Investment Holdings,Промышленность,"Оборудование, инструменты, автомобили большой грузоподъемности, железнодорожный и водный транспорт",eagle-legend-asia-ltd
1141,HK,CMBC Capital,Финансы,Инвестиционно-банковские и инвестиционные услуги,skyway-securities-group-ltd
1973,HK,Tian Tu Capital,Финансы,Инвестиционно-банковские и инвестиционные услуги,tian-tu-capital
2288,HK,Rykadan Capital,Недвижимость,Операции с недвижимостью,rykadan-capital-ltd-be
1269,HK,China First Capital,Потребительские товары выборочного спроса,Автомобили и запчасти к ним,china-first-capital-group-ltd
0193,HK,Capital Estate,Финансы,Инвестиционно-банковские и инвестиционные услуги,capital-estate
0188,HK,Sunwah Kingsway Capital,Финансы,Инвестиционно-банковские и инвестиционные услуги,sunwah-kingsway-capital-holdings-lt
2324,HK,Capital VC,Финансы,Инвестиционно-банковские и инвестиционные услуги,capital-vc-ltd
8621,HK,Metropolis Capital,Финансы,Банковские услуги,metropolis-capital-holdings
0804,HK,Pinestone Capital,Финансы,Инвестиционно-банковские и инвестиционные услуги,pinestone-capital-ltd
8439,HK,Somerley Capital,Финансы,Инвестиционно-банковские и инвестиционные услуги,somerley-capital-holdings-ltd
0204,HK,Capital Realm Financial Holdings,Финансы,Инвестиционные холдинги,china-invest
3989,HK,Capital Environment,Промышленность,Профессиональные и коммерческие услуги,capital-environment-holdings-ltd?cid=990968
0356,HK,DT Capital,Финансы,Инвестиционные холдинги,dt-capital-ltd
0905,HK,Walnut Capital,Финансы,Инвестиционно-банковские и инвестиционные услуги,global-mastermind-capital-ltd
1160,HK,Goldstone Capital,Финансы,Инвестиционно-банковские и инвестиционные услуги,grand-investment-international-ltd
9690,HK,TUHU Car,Потребительские товары выборочного спроса,Специализированные розничные торговцы,tuhu-car
1372,HK,China Carbon Neutral Development,Промышленность,Строительство и проектирование,excel-development-holdings-ltd
2160,HK,Microport Cardioflow Medtech,Здравоохранение,Оборудование и др. поставки для системы здравоохранения,microport-cardioflow-medtech
2219,HK,Chaoju Eye Care Holdings,Здравоохранение,Учреждения и услуги здравоохранения,chaoju-eye-care-holdings
0837,HK,Carpenter Tan,Сырье,Бумага и изделия из древесины,carpenter-tan-holdings-ltd
0146,HK,Tai Ping Carpets Intl,Потребительские товары выборочного спроса,Хозяйственные товары,tai-ping-carpets-international-ltd
0126,HK,Carrianna,Потребительские товары выборочного спроса,Гостиничные и развлекательные услуги,carrianna-group-holdings-co-ltd
0643,HK,Carry Wealth,Потребительские товары выборочного спроса,Текстиль и одежда,carry-wealth-holdings-ltd
2171,HK,CARsgen Therapeutics Holdings,Здравоохранение,Биотехнологии и медицинские исследования,carsgen-therapeutics-holdings
2223,HK,Casablanca,Потребительские товары выборочного спроса,Хозяйственные товары,casablanca-group-ltd
2483,HK,K Cash,Финансы,Банковские услуги,k-cash
0510,HK,CASH Financial Services,Финансы,Инвестиционно-банковские и инвестиционные услуги,cash-financial-services-group-ltd
2328,HK,PICC Property & Casualty,Финансы,Страхование,picc-property---casualty
0520,HK,Xiabuxiabu Catering Management,Потребительские товары выборочного спроса,Гостиничные и развлекательные услуги,xiabuxiabu-catering-managem
8619,HK,King of Catering Global Holdings,Промышленность,Строительство и проектирование,wac-holdings
1981,HK,Cathay Media,Образовательные услуги,Неклассифицированные поставщики образовательных услуг,cathay-media-and-education-group-in
6868,HK,Tenfu Cayman,Потребительские товары повседневного спроса,Еда и табачные изделия,tenfu-cayman-holdings-co-ltd
1821,HK,ESR Cayman,Финансы,Инвестиционно-банковские и инвестиционные услуги,esr-cayman-ltd
2126,HK,Jw Cayman,Здравоохранение,Биотехнологии и медицинские исследования,jw-cayman-therapeutics-co-ltd
1809,HK,Prinx Chengshan (Cayman),Потребительские товары выборочного спроса,Автомобили и запчасти к ним,prinx-chengshan-cayman
2451,HK,Luyuan Holding Cayman,Потребительские товары выборочного спроса,Товары для досуга,luyuan-holding-cayman
2268,HK,WuXi XDC Cayman,Здравоохранение,Фармацевтические компании,wuxi-xdc-cayman-inc
8428,HK,CBK,Потребительские товары выборочного спроса,Гостиничные и развлекательные услуги,cbk-holdings-ltd
8270,HK,China CBM Co,Энергетика,Газ и нефть,china-cbm
0145,HK,CCIAM Future Energy,Промышленность,Профессиональные и коммерческие услуги,hong-kong-building-and-loan-agency
