symbol,exchange,name,sector,industry,slug
ENPG,MCX,En Plus,Materials,Metals & Mining,en-plus-group-international-pao
ENRU,MCX,Enel Russia OAO,Utilities,Electric Utilities,ogk-5
ENPH-RM,MCX,Enphase,Information Technology,Semiconductors & Semiconductor Equipment,enphase-energy-inc?cid=1177312
ETR-RM,MCX,Entergy,Utilities,Electric Utilities,entergy-corp?cid=1179732
EOG-RM,MCX,EOG Resources,Energy,"Oil, Gas & Consumable Fuels",eog-resources?cid=1178086
EQT-RM,MCX,EQT,Energy,"Oil, Gas & Consumable Fuels",eqt-corporation?cid=1180684
EFX-RM,MCX,Equifax,Industrials,Professional Services,equifax-inc?cid=1180685
ETRN-RM,MCX,Equitrans Midstream,Energy,"Oil, Gas & Consumable Fuels",equitrans-midstream?cid=1183782
EL-RM,MCX,Estee Lauder,Consumer Staples,Personal Products,estee-lauder?cid=1179739
ETLNDR,MCX,Etalon Group,Real Estate,Real Estate Management & Development,etalon-group?cid=1156755
ETSY-RM,MCX,Etsy Inc,Consumer Discretionary,Internet & Direct Marketing Retail,etsy-inc?cid=1178107
EVRG-RM,MCX,Evergy,Utilities,Electric Utilities,westar-energy?cid=1179722
ES-RM,MCX,Eversource Energy,Utilities,Electric Utilities,northeast-utilities?cid=1179716
EXEL-RM,MCX,Exelixis,Healthcare,Biotechnology,exelixis-inc?cid=1183185
EXC-RM,MCX,Exelon,Utilities,Electric Utilities,exelon-corp?cid=1178083
EXPE-RM,MCX,Expedia,Consumer Discretionary,"Hotels, Restaurants & Leisure",expedia?cid=1178120
EXPD-RM,MCX,Expeditors Washington,Industrials,Air Freight & Logistics,expeditors-intl-wash-inc?cid=1177313
XOM-RM,MCX,Exxon Mobil,Energy,"Oil, Gas & Consumable Fuels",exxon-mobil?cid=1165949
FFIV-RM,MCX,F5 Networks,Information Technology,Communications Equipment,f5-networks-inc?cid=1177314
LIFE,MCX,Farmsintez,Healthcare,Pharmaceuticals,pharmsynthez
FAST-RM,MCX,Fastenal,Industrials,Trading Companies & Distributors,fastenal-co?cid=1178108
FSLY-RM,MCX,Fastly,Information Technology,IT Services,fastly-inc?cid=1177317
FDX-RM,MCX,FedEx,Industrials,Air Freight & Logistics,fedex-corp?cid=1167275
HYDR,MCX,FGK Rusgidro PAO,Utilities,Electric Utilities,gidroogk-011d
FGEN-RM,MCX,FibroGen Inc,Healthcare,Biotechnology,fibrogen-inc?cid=1185542
FNF-RM,MCX,Fidelity Financial,Financial,Insurance,fidelity-national-financial?cid=1185373
FIS-RM,MCX,Fidelity National Info,Information Technology,IT Services,fidelity-natl-in?cid=1178106
FITB-RM,MCX,Fifth Third,Financial,Banks,fifth-third-bk?cid=1178080
FSLR-RM,MCX,First Solar,Information Technology,Semiconductors & Semiconductor Equipment,first-solar-inc?cid=1177316
FE-RM,MCX,FirstEnergy,Utilities,Electric Utilities,first-energy?cid=1178087
FISV-RM,MCX,Fiserv,Information Technology,IT Services,fiserv-inc?cid=1172666
FIVN-RM,MCX,Five9,Information Technology,Software,five9-inc?cid=1185541
FIXPDR,MCX,Fix Price Group,Consumer Discretionary,Multiline Retail,fix-price-group-drc?cid=1171256
FLT-RM,MCX,FleetCor,Information Technology,IT Services,fleetcor-tech?cid=1183295
FLR-RM,MCX,Fluor,Industrials,Construction & Engineering,fluor-corp?cid=1184155
FMC-RM,MCX,FMC,Materials,Chemicals,fmc-corp?cid=1179766
FL-RM,MCX,Foot Locker,Consumer Discretionary,Specialty Retail,foot-locker?cid=1185540
F-RM,MCX,Ford Motor,Consumer Discretionary,Automobiles,ford-motor-co?cid=1167274
FTNT-RM,MCX,Fortinet,Information Technology,Software,fortinet?cid=1179746
FTV-RM,MCX,Fortive,Industrials,Machinery,fortive-corp?cid=1178136
FBHS-RM,MCX,Fortune Brands,Industrials,Building Products,fortune-brands-home---security?cid=1183294
FOX-RM,MCX,Fox Corp B,Communication Services,Media,fox-corp-b?cid=1177933
BEN-RM,MCX,Franklin Resources,Financial,Capital Markets,franklin-res?cid=1177301
FCX-RM,MCX,Freeport-McMoran,Materials,Metals & Mining,freeport-mcm?cid=1172693
FEES,MCX,FSK EES,Utilities,Electric Utilities,fsk-ees_rts
FNKO-RM,MCX,Funko,Consumer Discretionary,Distributors,funko-inc?cid=1177315
GTHX-RM,MCX,G1 Therapeutics,Healthcare,Biotechnology,g1-therapeutics-inc?cid=1174095
GPS-RM,MCX,Gap,Consumer Discretionary,Specialty Retail,gap.inc?cid=1172696
IT-RM,MCX,Gartner,Information Technology,IT Services,gartner?cid=1183297
GAZA,MCX,Gaz PAO,Consumer Discretionary,Automobiles,gaz-auto-plant
GAZA_p,MCX,Gaz PAO Pref,Consumer Discretionary,Automobiles,gaz-auto-plant-(pref)
RTGZ,MCX,Gazprom Gazoraspredeleniye,Utilities,Gas Utilities,gazprom-gazoraspredeleniye
SIBN,MCX,Gazprom Neft,Energy,"Oil, Gas & Consumable Fuels",gazprom-neft_rts
GAZP,MCX,Gazprom PAO,Energy,"Oil, Gas & Consumable Fuels",gazprom_rts
GNRC-RM,MCX,Generac,Industrials,Electrical Equipment,generac-holdings?cid=1179772
GD-RM,MCX,General Dynamics,Industrials,Aerospace & Defense,general-dynam?cid=1177318
GE-RM,MCX,General Electric,Industrials,Industrial Conglomerates,general-electric?cid=1167276
GIS-RM,MCX,General Mills,Consumer Staples,Food Products,general-mills?cid=1178096
GM-RM,MCX,General Motors,Consumer Discretionary,Automobiles,gen-motors?cid=1167277
GNTX-RM,MCX,Gentex,Consumer Discretionary,Auto Components,gentex-corp?cid=1185374
GPC-RM,MCX,Genuine Parts,Consumer Discretionary,Distributors,genuine-parts-co?cid=1177319
GEVO-RM,MCX,Gevo,Energy,"Oil, Gas & Consumable Fuels",gevo?cid=1180686
GILD-RM,MCX,Gilead,Healthcare,Biotechnology,gilead-sciences-inc?cid=1172685
RLMN,MCX,Gk Rollman OAO,Materials,Chemicals,gk-rollman-oao
RLMN_p,MCX,GK Rollman OAO Pref,Materials,Chemicals,gk-rollman-oao-pref
SMLT,MCX,Gk Samolet,Real Estate,Real Estate Management & Development,gk-samolet-pao
TNSE,MCX,GK TNS energo PAO,Utilities,Independent Power and Renewable Electricity Producers,gk-tns-energo-pao
GPN-RM,MCX,Global Payments,Information Technology,IT Services,global-payments?cid=1179700
GLTRDR,MCX,Globaltrans Inv,Industrials,Road & Rail,globaltrans-inv?cid=1167212
GTRK,MCX,Globaltruck Management PAO,Industrials,Road & Rail,globaltrak
GS-RM,MCX,Goldman Sachs,Financial,Capital Markets,goldman-sachs-group?cid=1174090
GDRX-RM,MCX,Goodrx,Healthcare,Health Care Technology,goodrx-holdings-inc?cid=1184156
GT-RM,MCX,Goodyear Tire & Rubber Co,Consumer Discretionary,Auto Components,goodyear-tire?cid=1174093
GRNT,MCX,Gorodskiye Innovatsionnyye Tekhnologii,Industrials,Industrial Conglomerates,gorodskiye-innovatsionnyye-tekhnolo
GCHE,MCX,Gruppa Cherkizovo,Consumer Staples,Food Products,gruppa-cherkizovo
LSRG,MCX,Gruppa LSR,Real Estate,Real Estate Management & Development,lsr-group_rts
POSI,MCX,Gruppa Pozitiv PAO,Information Technology,Software,gruppa-pozitiv-pao
RENI,MCX,Gruppa Renessans Strakhovaniye PAO,Financial,Insurance,gruppa-renessans-strakhovaniye
HRB-RM,MCX,H&R Block,Consumer Discretionary,Diversified Consumer Services,h---r-block-inc?cid=1185086
HAL-RM,MCX,Halliburton,Energy,Energy Equipment & Services,halliburton-co?cid=1172694
HBI-RM,MCX,Hanesbrands,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",hanesbrands?cid=1178084
HOG-RM,MCX,Harley-Davidson,Consumer Discretionary,Automobiles,harley-davidson?cid=1183167
HIG-RM,MCX,Hartford,Financial,Insurance,hartford-finl?cid=1178129
HAS-RM,MCX,Hasbro,Consumer Discretionary,Leisure Products,hasbro-inc?cid=1180687
HCA-RM,MCX,HCA,Healthcare,Health Care Providers & Services,hca-holdings-inc?cid=1179720
HHRUDR,MCX,HeadHunter ADR,Industrials,Professional Services,headhunter-group-plc?cid=1166764
MOMO-RMDR,MCX,Hello Group,Communication Services,Interactive Media & Services,momo-inc?cid=1174108
HSIC-RM,MCX,Henry Schein,Healthcare,Health Care Providers & Services,henry-schein?cid=1179761
HRTX-RM,MCX,Heron Therapeuti,Healthcare,Biotechnology,heron-therapeuti?cid=1177324
HSY-RM,MCX,Hershey Co,Consumer Staples,Food Products,hershey-co?cid=1177914
HES-RM,MCX,Hess,Energy,"Oil, Gas & Consumable Fuels",hess-corp?cid=1178147
HPE-RM,MCX,Hewlett Packard,Information Technology,"Technology Hardware, Storage & Peripherals",hewlett-packard-enterprise-co?cid=1174086
HLT-RM,MCX,Hilton Worldwide,Consumer Discretionary,"Hotels, Restaurants & Leisure",hilton-worldwide?cid=1178137
HMSGDR,MCX,HMS Hydraulic Machines Systems Group DRC,Industrials,Machinery,hms-hydraulic-machines-and-syste-be?cid=1174083
HFC-RM,MCX,HollyFrontier,Energy,"Oil, Gas & Consumable Fuels",hollyfrontier-co?cid=1184157
HOLX-RM,MCX,Hologic,Healthcare,Health Care Equipment & Supplies,hologic-inc?cid=1178144
HD-RM,MCX,Home Depot,Consumer Discretionary,Specialty Retail,home-depot?cid=1172684
HON-RM,MCX,Honeywell,Industrials,Industrial Conglomerates,honeywell-intl?cid=1172688
HRL-RM,MCX,Hormel Foods,Consumer Staples,Food Products,hormel-foods-corp?cid=1177323
TWNK-RM,MCX,Hostess Brands,Consumer Staples,Food Products,gores-holdings-inc?cid=1185386
HWM-RM,MCX,Howmet,Industrials,Aerospace & Defense,howmet-aerospace-inc?cid=1178103
HPQ-RM,MCX,HP Inc,Information Technology,"Technology Hardware, Storage & Peripherals",hewlett-pack?cid=1167278
HUM-RM,MCX,Humana,Healthcare,Health Care Providers & Services,humana-inc?cid=1177923
HBAN-RM,MCX,Huntington Bancshares,Financial,Banks,huntgtn-bkshr?cid=1177321
HII-RM,MCX,Huntington Ingalls Industries,Industrials,Aerospace & Defense,huntington-ingalls-industries-inc?cid=1183296
HYLN-RM,MCX,Hyliion Holdings,Industrials,Machinery,tortoise-acquisition-corp?cid=1183783
IBM-RM,MCX,IBM,Information Technology,IT Services,ibm?cid=1169921
ICE-RM,MCX,ICE,Financial,Capital Markets,intercontintlex?cid=1178133
IEX-RM,MCX,IDEX,Industrials,Machinery,idex?cid=1180829
IDXX-RM,MCX,IDEXX Labs,Healthcare,Health Care Equipment & Supplies,idexx-laboratorie?cid=1180688
IFF-RM,MCX,IFF,Materials,Chemicals,intl-flav---frag?cid=1178123
IIVI-RM,MCX,II-VI,Information Technology,"Electronic Equipment, Instruments & Components",ii-vi-inc?cid=1185087
ITW-RM,MCX,Illinois Tool Works,Industrials,Machinery,illinois-tool-wk-r?cid=1177325
ILMN-RM,MCX,Illumina,Healthcare,Life Sciences Tools & Services,"illumina,-inc.?cid=1172667"
INCY-RM,MCX,Incyte,Healthcare,Biotechnology,incyte-corp?cid=1174118
IR-RM,MCX,Ingersoll Rand,Industrials,Machinery,ingersoll-rand?cid=1178145
INGR,MCX,Ingrad PAO,Real Estate,Real Estate Management & Development,otkrytye-investitsii-oao
INSG-RM,MCX,Inseego,Information Technology,Communications Equipment,novatel-wireless?cid=1184158
ISKJ,MCX,Institut Stvolovykh Kletok Cheloveka PAO,Healthcare,Biotechnology,human-stem-cells-institute
INTC-RM,MCX,Intel,Information Technology,Semiconductors & Semiconductor Equipment,intel-corp?cid=1165938
NTLA-RM,MCX,Intellia Therapeutics Inc,Healthcare,Biotechnology,intellia-therapeutics-inc?cid=1185376
IRAO,MCX,Inter rao ees,Utilities,Electric Utilities,inter-rao-ees_mm
IP-RM,MCX,International Paper,Materials,Containers & Packaging,intl-paper-co?cid=1178121
INTU-RM,MCX,Intuit,Information Technology,Software,intuit?cid=1174115
ISRG-RM,MCX,Intuitive Surgical,Healthcare,Health Care Equipment & Supplies,intuitive-surgical-inc?cid=1174091
IDVP,MCX,Invest-Development PAO,Real Estate,Real Estate Management & Development,invest-development-pao
NVTA-RM,MCX,InVitae Corp,Healthcare,Health Care Providers & Services,invitae-corp?cid=1183800
IONS-RM,MCX,Ionis Pharma,Healthcare,Biotechnology,isis-pharma?cid=1185543
IOVA-RM,MCX,Iovance Biotherapeutics,Healthcare,Biotechnology,lion-biotechnologies?cid=1184159
IPG-RM,MCX,IPG,Communication Services,Media,interpublic-grp?cid=1178094
