symbol,exchange,name,sector,industry,slug
NFLO,XETRA,Netflix,Communication Services,Entertainment,"netflix,-inc.?cid=963537"
NF4,XETRA,Netfonds,Financial,Capital Markets,netfonds
NWOn,XETRA,New Work,Communication Services,Interactive Media & Services,xing-ag
NXRG,XETRA,NEXR Technologies SE,Information Technology,"Electronic Equipment, Instruments & Components",social-commerce-group-se
NXUG,XETRA,Nexus,Healthcare,Health Care Technology,nexus-ag
NFN,XETRA,NFON,Communication Services,Diversified Telecommunication Services,nfon-ag
NIIGn,XETRA,Niiio Finance,Information Technology,Software & Programming,niiio-finance-group-ag?cid=989448
NKE,XETRA,Nike,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",nike?cid=29577
NOKS,XETRA,Nokia Oyj,Information Technology,Communications Equipment,nokia-finland?cid=963383
NUVG,XETRA,Noratis,Real Estate,Real Estate Management & Development,noratis-ag
NC5Ak,XETRA,NorCom Information Technology,Information Technology,IT Services,norcom-information-technology-ag
NDXG,XETRA,Nordex SE,Industrials,Electrical Equipment,nordex?cid=23521
NOEJ,XETRA,Norma AG,Industrials,Machinery,norma-group-ag
NB2,XETRA,Northern Data,Information Technology,Software,northern-bitcoin?cid=1117820
NOVCb,XETRA,Novo Nordisk B,Healthcare,Pharmaceuticals,novo-nordisk?cid=963357
NLVGn,XETRA,Nuernberger Beteiligungs,Financial,Insurance,nuernberger-beteiligungs-ag
NVDA,XETRA,NVIDIA,Information Technology,Semiconductors & Semiconductor Equipment,nvidia-corp?cid=1056282
M7UG,XETRA,Nynomic,Information Technology,"Electronic Equipment, Instruments & Components",mut-ag-messgeraete-fuer-medizin
OXY,XETRA,Occidental,Energy,"Oil, Gas & Consumable Fuels",occidental-petro?cid=963465
ODP1,XETRA,ODP,Consumer Discretionary,Specialty Retail,office-depot?cid=1163910
VVVGn_p,XETRA,OeKOWORLD Pref,Financial,Diversified Financial Services,oekoworld-ag-pref
POST,XETRA,Oesterr. Post AG,Industrials,Air Freight & Logistics,oesterreich-post?cid=963533
OHBG,XETRA,OHB AG,Industrials,Aerospace & Defense,ohb-ag
OMVV,XETRA,OMV AG,Energy,"Oil, Gas & Consumable Fuels",omv-ag?cid=963371
2QUn,XETRA,Onoff AG,Information Technology,IT Services,onoff-ag
O5H,XETRA,Openlimiting,Information Technology,Software,openlimit-holding-ag
ORCL,XETRA,Oracle,Information Technology,Software,oracle-corp?cid=963235
FTE,XETRA,Orange,Communication Services,Diversified Telecommunication Services,france-telecom?cid=945905
OBS,XETRA,Orbis,Information Technology,IT Services,orbis-ag
4PG,XETRA,Otis Worldwide,Industrials,Machinery,otis-worldwide-corp?cid=1163905
TR9G,XETRA,Otrs,Information Technology,Software,otrs-ag?cid=1163912
O4BG,XETRA,OVB Holding AG,Financial,Capital Markets,ovb-holding-ag?cid=962933
PRYG,XETRA,Pacifico Renewables Yield AG,Utilities,Independent Power and Renewable Electricity Producers,pacifico-renewables-yield-ag
PA8G,XETRA,Paion,Healthcare,Biotechnology,paion-ag
PTXG,XETRA,Palantir,Information Technology,Software,palantir-technologies-inc?cid=1170417
